student_id,gender,immigrant_status,SES,achievement,psychological_distress
1,female,2nd-gen,5.5,87.0,1
2,male,non-immigrant,6.6,87.6,0
3,female,non-immigrant,3.2,44.0,1
4,female,non-immigrant,2.6,73.3,1
5,male,non-immigrant,7.5,85.5,0
6,female,2nd-gen,6.9,60.2,1
7,female,non-immigrant,3.6,54.9,1
8,female,2nd-gen,2.9,90.4,1
9,male,2nd-gen,6.0,65.2,0
10,male,2nd-gen,8.4,82.3,0
11,female,non-immigrant,2.4,54.6,1
12,female,non-immigrant,4.0,56.4,1
13,female,non-immigrant,5.3,88.2,0
14,male,2nd-gen,0.6,85.3,1
15,male,non-immigrant,4.0,79.1,0
16,male,non-immigrant,6.2,75.1,0
17,male,non-immigrant,2.9,47.0,1
18,female,2nd-gen,4.6,78.7,1
19,female,2nd-gen,6.5,87.3,1
20,male,non-immigrant,8.2,64.3,0
21,female,1st-gen,0.0,100.0,1
22,female,1st-gen,6.3,68.3,1
23,female,1st-gen,8.4,59.2,1
24,male,2nd-gen,2.0,69.0,1
25,male,non-immigrant,0.9,75.9,0
26,female,1st-gen,5.4,33.1,1
27,female,non-immigrant,4.5,40.8,1
28,male,non-immigrant,6.4,70.5,0
29,female,non-immigrant,3.4,65.7,1
30,female,non-immigrant,5.0,82.7,0
31,male,non-immigrant,6.0,74.3,0
32,male,non-immigrant,3.0,53.6,1
33,female,non-immigrant,5.6,84.3,0
34,female,non-immigrant,5.9,81.2,0
35,female,non-immigrant,5.7,85.5,0
36,female,non-immigrant,4.7,64.3,0
37,female,non-immigrant,6.2,71.1,0
38,male,non-immigrant,6.3,39.1,0
39,female,2nd-gen,8.9,69.8,1
40,male,non-immigrant,4.4,78.1,0
41,female,2nd-gen,1.3,64.2,1
42,male,non-immigrant,4.8,61.2,0
43,female,2nd-gen,6.9,43.1,1
44,female,1st-gen,4.5,73.7,1
45,female,non-immigrant,5.7,65.0,0
46,male,non-immigrant,3.2,61.2,0
47,female,1st-gen,4.0,55.6,1
48,male,1st-gen,5.7,84.2,0
49,male,non-immigrant,4.9,67.2,0
50,male,1st-gen,2.7,70.8,1
51,male,1st-gen,4.8,68.3,0
52,male,non-immigrant,5.6,59.5,0
53,female,2nd-gen,1.6,95.2,1
54,female,1st-gen,1.3,66.7,1
55,male,non-immigrant,6.2,74.2,0
56,male,2nd-gen,2.4,97.4,1
57,male,non-immigrant,5.4,72.4,0
58,male,2nd-gen,5.4,84.6,0
59,female,non-immigrant,3.5,73.6,1
60,female,non-immigrant,4.0,65.1,1
61,female,2nd-gen,8.0,84.6,1
62,male,2nd-gen,3.7,51.3,1
63,male,non-immigrant,7.4,79.7,0
64,male,non-immigrant,4.8,58.6,0
65,female,non-immigrant,5.0,80.0,0
66,male,non-immigrant,5.3,51.3,0
67,male,1st-gen,6.2,70.2,0
68,female,2nd-gen,8.0,69.4,1
69,male,non-immigrant,1.8,50.0,1
70,female,1st-gen,1.8,63.8,1
71,male,non-immigrant,2.9,42.1,1
72,male,non-immigrant,5.0,93.6,0
73,female,non-immigrant,6.8,70.6,0
74,female,2nd-gen,5.4,74.2,1
